ExposureID,CustomerID,CampaignID,Channel,ExposureAt
1,8,102,email,2024-01-22 02:35:03
2,11,102,email,2024-01-29 03:37:32
3,15,101,app,2024-01-24 00:41:25
4,23,102,email,2024-02-05 18:46:08
5,34,102,Email,2024-01-18 20:11:39
6,35,102,Email,2024-01-16 21:19:35
7,35,102,Email,2024-01-17 21:19:35
8,37,101,App,2024-03-21 17:42:29
9,37,101,APP,2024-03-23 17:42:29
10,40,101,APP,2024-01-20 20:22:55
11,40,101,App,2024-01-23 20:22:55
12,42,101,App,2024-02-02 23:26:58
13,46,101,App,2024-03-10 05:26:43
14,51,102,email,2024-03-04 21:22:42
15,51,102,EMAIL,2024-03-05 21:22:42
16,53,101,APP,2024-02-18 18:15:01
17,53,101,app,2024-02-24 18:15:01
18,55,102,email,2024-02-19 23:13:27
19,55,102,email,2024-02-25 23:13:27
20,57,102,EMAIL,2024-04-03 10:40:49
21,58,101,app,2024-01-07 13:37:56
22,77,101,app,2024-02-29 11:53:39
23,77,101,app,2024-02-29 11:53:39
24,79,101,App,2024-01-31 08:00:25
25,81,102,email,2024-03-27 11:52:27
26,86,102,Email,2024-03-02 08:25:57
27,88,102,EMAIL,2024-02-23 19:55:48
28,88,102,EMAIL,2024-02-26 19:55:48
29,90,102,EMAIL,2024-03-19 13:13:40
30,90,102,Email,2024-03-20 13:13:40
31,93,101,app,2024-01-23 02:38:34
32,93,101,APP,2024-01-27 02:38:34
33,96,101,app,2024-03-14 09:14:07
34,98,102,Email,2024-03-10 21:53:05
35,98,102,EMAIL,2024-03-16 21:53:05
36,99,102,email,2024-03-19 19:31:24
37,99,102,email,2024-03-21 19:31:24
38,100,101,APP,2024-02-10 04:28:57
39,106,102,email,2024-03-19 06:53:47
40,110,101,App,2024-03-19 07:14:07
41,112,102,EMAIL,2024-01-21 17:01:47
42,117,102,EMAIL,2024-01-28 21:51:42
43,120,101,APP,2024-02-08 07:03:46
44,120,101,APP,2024-02-10 07:03:46
45,122,101,App,2024-02-28 09:09:29
46,128,101,App,2024-01-15 01:20:05
47,128,101,app,2024-01-16 01:20:05
48,132,101,App,2024-02-02 02:31:05
49,132,101,app,2024-02-08 02:31:05
50,136,102,email,2024-01-28 07:39:48
51,136,102,EMAIL,2024-01-28 07:39:48
52,139,102,email,2024-02-20 22:56:07
53,139,102,EMAIL,2024-02-21 22:56:07
54,141,102,email,2024-03-05 23:39:44
55,144,102,Email,2024-03-21 08:40:46
56,153,101,APP,2024-02-20 14:52:21
57,153,101,app,2024-02-27 14:52:21
58,160,101,App,2024-03-21 11:55:03
59,160,101,App,2024-03-28 11:55:03
60,169,101,APP,2024-03-03 04:03:29
61,172,101,APP,2024-02-28 09:44:16
62,172,101,APP,2024-03-03 09:44:16
63,177,102,email,2024-01-30 02:02:32
64,177,102,EMAIL,2024-02-05 02:02:32
65,185,101,App,2024-01-31 06:29:01
66,186,101,App,2024-01-12 03:18:41
67,195,101,APP,2024-01-30 10:09:19
68,196,102,EMAIL,2024-03-19 13:25:32
69,198,102,Email,2024-02-02 18:40:39
70,200,101,app,2024-04-02 06:59:02
71,200,101,App,2024-04-04 06:59:02
72,201,101,App,2024-03-19 07:19:13
73,202,101,App,2024-02-20 10:26:46
74,211,101,APP,2024-01-04 23:33:34
75,211,101,app,2024-01-08 23:33:34
76,213,102,email,2024-04-04 07:48:46
77,215,101,APP,2024-01-28 12:18:15
78,215,101,App,2024-01-31 12:18:15
79,221,101,APP,2024-03-30 11:18:25
80,221,101,APP,2024-03-30 11:18:25
81,222,102,email,2024-02-24 07:55:27
82,222,102,email,2024-02-27 07:55:27
83,224,102,EMAIL,2024-03-12 15:46:59
84,225,102,EMAIL,2024-02-27 14:21:01
85,225,102,email,2024-03-05 14:21:01
86,229,101,app,2024-03-25 08:21:26
87,229,101,App,2024-03-27 08:21:26
88,230,102,EMAIL,2024-01-07 16:44:26
89,230,102,Email,2024-01-13 16:44:26
90,232,102,Email,2024-01-05 21:17:53
91,236,102,Email,2024-02-17 01:49:12
92,238,101,app,2024-02-23 15:02:11
93,246,101,App,2024-03-04 07:08:28
94,246,101,app,2024-03-06 07:08:28
95,248,102,email,2024-03-31 20:30:49
96,252,101,app,2024-01-18 23:12:12
97,252,101,APP,2024-01-18 23:12:12
98,253,102,Email,2024-01-10 03:59:15
99,253,102,email,2024-01-10 03:59:15
100,255,101,APP,2024-01-30 08:46:03
101,255,101,APP,2024-01-30 08:46:03
102,259,102,EMAIL,2024-02-10 12:17:41
103,259,102,email,2024-02-11 12:17:41
104,261,101,app,2024-01-12 23:54:18
105,261,101,app,2024-01-13 23:54:18
106,267,101,APP,2024-01-18 02:39:32
107,271,101,app,2024-02-27 06:03:07
108,286,102,Email,2024-02-28 20:25:18
109,286,102,email,2024-02-29 20:25:18
110,288,101,app,2024-04-06 23:30:22
111,289,101,App,2024-03-20 15:41:24
112,289,101,app,2024-03-20 15:41:24
113,290,102,email,2024-03-29 14:54:27
114,293,102,email,2024-04-03 14:21:01
115,293,102,email,2024-04-07 14:21:01
116,296,102,EMAIL,2024-03-07 04:30:18
117,296,102,email,2024-03-14 04:30:18
118,297,102,Email,2024-01-20 08:16:03
119,297,102,Email,2024-01-24 08:16:03
120,299,102,EMAIL,2024-02-11 14:17:37
121,300,102,email,2024-02-09 08:43:18
122,302,102,Email,2024-02-29 05:30:27
123,302,102,EMAIL,2024-03-02 05:30:27
124,303,102,email,2024-01-28 12:33:37
125,310,102,EMAIL,2024-02-01 20:09:19
126,312,102,email,2024-03-12 23:44:42
127,317,101,APP,2024-01-19 12:57:20
128,317,101,APP,2024-01-22 12:57:20
129,318,102,Email,2024-03-13 03:46:47
130,320,102,Email,2024-02-18 13:03:00
131,320,102,EMAIL,2024-02-24 13:03:00
132,328,102,email,2024-03-01 17:21:40
133,331,102,email,2024-01-03 01:49:02
134,331,102,email,2024-01-10 01:49:02
135,332,101,app,2024-01-24 04:15:18
136,332,101,app,2024-01-26 04:15:18
137,333,101,App,2024-01-27 21:46:11
138,333,101,APP,2024-02-03 21:46:11
139,335,101,App,2024-02-29 07:32:06
140,335,101,app,2024-03-04 07:32:06
141,345,101,APP,2024-03-28 21:59:49
142,347,102,email,2024-03-17 05:15:52
143,351,102,email,2024-04-04 06:55:54
144,352,102,EMAIL,2024-03-24 19:25:03
145,352,102,email,2024-03-27 19:25:03
146,358,101,App,2024-02-03 04:54:34
147,358,101,App,2024-02-03 04:54:34
148,359,102,Email,2024-03-07 13:37:28
149,359,102,email,2024-03-09 13:37:28
150,362,101,App,2024-01-11 09:35:00
151,374,102,email,2024-01-12 06:28:20
152,374,102,email,2024-01-12 06:28:20
153,375,102,Email,2024-02-14 17:07:57
154,375,102,Email,2024-02-21 17:07:57
155,381,101,app,2024-02-22 15:32:10
156,386,101,app,2024-03-23 13:37:21
157,387,101,app,2024-01-27 01:45:36
158,388,102,email,2024-01-09 00:43:35
159,390,101,App,2024-03-11 11:29:24
160,391,101,app,2024-01-25 09:15:32
161,395,101,app,2024-03-16 16:54:15
162,395,101,app,2024-03-23 16:54:15
163,396,102,email,2024-03-30 01:55:46
164,407,101,app,2024-03-31 05:14:04
165,407,101,APP,2024-04-07 05:14:04
166,408,102,EMAIL,2024-03-25 20:58:53
167,408,102,EMAIL,2024-03-29 20:58:53
168,415,101,App,2024-02-04 14:58:35
169,419,102,email,2024-01-31 03:55:26
170,422,102,Email,2024-01-04 06:16:29
171,423,102,email,2024-03-11 14:19:19
172,423,102,EMAIL,2024-03-15 14:19:19
173,427,101,app,2024-01-21 07:15:42
174,432,101,App,2024-03-18 15:46:21
175,439,102,Email,2024-03-07 02:04:40
176,444,101,app,2024-03-31 12:10:14
177,444,101,App,2024-04-03 12:10:14
178,445,101,APP,2024-03-10 23:39:45
179,447,102,email,2024-01-30 03:00:23
180,449,102,EMAIL,2024-02-17 07:40:56
181,449,102,EMAIL,2024-02-19 07:40:56
182,453,101,App,2024-03-03 04:54:06
183,454,102,email,2024-01-15 22:05:07
184,459,102,EMAIL,2024-03-01 10:56:19
185,463,101,APP,2024-03-02 16:07:09
186,464,102,email,2024-01-22 05:55:44
187,473,101,App,2024-03-27 20:12:05
188,484,102,EMAIL,2024-03-17 19:08:48
189,484,102,email,2024-03-24 19:08:48
190,493,101,app,2024-03-30 14:23:39
191,497,102,EMAIL,2024-01-09 14:19:01
192,497,102,EMAIL,2024-01-09 14:19:01
193,504,101,APP,2024-02-12 00:24:36
194,511,101,App,2024-01-17 00:15:55
195,516,102,Email,2024-01-21 08:21:07
196,516,102,email,2024-01-28 08:21:07
197,520,102,email,2024-02-08 02:24:44
198,520,102,EMAIL,2024-02-10 02:24:44
199,527,102,email,2024-03-07 05:36:27
200,527,102,Email,2024-03-07 05:36:27
201,531,102,email,2024-03-11 07:56:20
202,531,102,email,2024-03-12 07:56:20
203,538,102,EMAIL,2024-02-07 18:34:27
204,539,102,EMAIL,2024-03-16 23:47:46
205,539,102,Email,2024-03-18 23:47:46
206,540,102,email,2024-01-15 12:08:45
207,540,102,email,2024-01-20 12:08:45
208,541,102,email,2024-01-03 04:07:44
209,541,102,EMAIL,2024-01-09 04:07:44
210,542,101,App,2024-02-22 14:23:38
211,542,101,app,2024-02-26 14:23:38
212,545,102,email,2024-03-14 13:43:50
213,545,102,email,2024-03-16 13:43:50
214,548,102,email,2024-02-06 12:46:39
215,555,102,Email,2024-02-16 02:02:07
216,558,101,App,2024-02-26 02:58:19
217,571,102,Email,2024-01-28 18:10:35
218,571,102,EMAIL,2024-01-28 18:10:35
219,577,102,email,2024-03-20 15:21:58
220,577,102,email,2024-03-24 15:21:58
221,578,101,app,2024-03-03 09:12:50
222,578,101,app,2024-03-04 09:12:50
223,579,101,App,2024-03-30 13:07:39
224,579,101,APP,2024-04-06 13:07:39
225,582,101,APP,2024-03-10 16:02:41
226,583,101,app,2024-03-27 06:58:10
227,587,102,Email,2024-01-22 22:00:48
228,587,102,EMAIL,2024-01-29 22:00:48
229,592,102,EMAIL,2024-01-31 01:38:31
230,597,102,email,2024-01-19 01:15:54
231,599,102,EMAIL,2024-03-07 06:35:02
232,605,101,app,2024-02-26 20:23:12
233,614,101,App,2024-03-05 01:32:43
234,616,102,email,2024-03-24 19:43:44
235,616,102,EMAIL,2024-03-30 19:43:44
236,618,101,app,2024-02-15 08:55:35
237,619,102,email,2024-01-17 01:40:47
238,619,102,email,2024-01-20 01:40:47
239,632,102,email,2024-01-28 04:46:41
240,633,101,app,2024-02-15 16:23:57
241,633,101,app,2024-02-15 16:23:57
242,635,101,APP,2024-01-01 08:02:12
243,635,101,app,2024-01-04 08:02:12
244,639,102,EMAIL,2024-03-03 13:48:13
245,639,102,email,2024-03-07 13:48:13
246,643,101,App,2024-04-03 04:02:29
247,645,101,app,2024-02-25 03:51:24
248,645,101,APP,2024-02-27 03:51:24
249,647,102,EMAIL,2024-03-24 14:59:14
250,648,102,Email,2024-03-25 03:26:13
251,648,102,email,2024-03-29 03:26:13
252,649,101,App,2024-02-02 10:47:45
253,649,101,app,2024-02-09 10:47:45
254,651,101,app,2024-01-18 03:28:22
255,661,101,APP,2024-02-01 19:07:31
256,662,102,Email,2024-03-28 17:16:46
257,669,102,Email,2024-01-24 03:13:41
258,673,102,EMAIL,2024-02-23 07:44:34
259,687,101,APP,2024-01-07 14:42:13
260,687,101,App,2024-01-13 14:42:13
261,689,102,EMAIL,2024-03-12 17:21:32
262,690,101,app,2024-02-14 21:57:51
263,690,101,App,2024-02-14 21:57:51
264,691,102,Email,2024-02-24 00:46:06
265,691,102,EMAIL,2024-03-01 00:46:06
266,695,102,email,2024-01-15 23:13:52
267,698,101,App,2024-02-14 21:52:33
268,702,101,App,2024-03-12 10:43:47
269,702,101,app,2024-03-19 10:43:47
270,706,101,APP,2024-02-08 07:25:05
271,706,101,APP,2024-02-13 07:25:05
272,708,101,APP,2024-02-15 15:47:09
273,713,102,EMAIL,2024-01-30 06:28:32
274,713,102,email,2024-02-05 06:28:32
275,728,101,app,2024-04-03 13:56:20
276,731,102,Email,2024-01-07 15:35:10
277,733,102,Email,2024-03-14 21:27:55
278,734,101,app,2024-03-28 14:58:07
279,734,101,App,2024-03-31 14:58:07
280,736,101,app,2024-01-06 21:35:18
281,736,101,APP,2024-01-09 21:35:18
282,742,102,email,2024-03-13 11:57:17
283,742,102,email,2024-03-19 11:57:17
284,744,102,Email,2024-02-29 21:39:29
285,744,102,email,2024-03-04 21:39:29
286,762,102,EMAIL,2024-03-13 23:48:08
287,762,102,EMAIL,2024-03-18 23:48:08
288,763,101,App,2024-03-01 15:16:24
289,764,101,App,2024-01-14 15:03:09
290,764,101,app,2024-01-16 15:03:09
291,766,101,App,2024-01-30 05:45:45
