CustomerID,CampaignID,Variant,AssignedAt
6,102,A,2024-02-24 20:38:58
8,102,A,2024-01-17 02:35:03
9,101,B,2024-03-26 15:28:51
11,102,B,2024-01-26 03:37:32
15,101,A,2024-01-21 00:41:25
19,101,B,2024-02-03 09:42:01
23,102,A,2024-02-02 18:46:08
24,101,B,2024-03-08 11:47:58
25,101,A,2024-01-19 17:08:08
34,102,B,2024-01-13 20:11:39
35,102,A,2024-01-12 21:19:35
37,101,B,2024-03-16 17:42:29
40,101,A,2024-01-14 20:22:55
42,101,B,2024-01-27 23:26:58
46,101,B,2024-03-03 05:26:43
51,102,A,2024-02-26 21:22:42
53,101,A,2024-02-16 18:15:01
55,102,B,2024-02-15 23:13:27
57,102,A,2024-03-27 10:40:49
58,101,A,2024-01-03 13:37:56
77,101,A,2024-02-26 11:53:39
78,102,B,2024-02-17 02:23:55
79,101,A,2024-01-26 08:00:25
81,102,B,2024-03-24 11:52:27
83,102,B,2024-03-02 00:00:16
86,102,A,2024-02-27 08:25:57
88,102,B,2024-02-17 19:55:48
90,102,A,2024-03-14 13:13:40
93,101,A,2024-01-17 02:38:34
96,101,B,2024-03-12 09:14:07
98,102,B,2024-03-08 21:53:05
99,102,A,2024-03-12 19:31:24
100,101,A,2024-02-05 04:28:57
106,102,A,2024-03-17 06:53:47
110,101,A,2024-03-14 07:14:07
111,102,B,2024-01-17 07:28:28
112,102,B,2024-01-17 17:01:47
113,102,A,2024-01-09 19:12:20
117,102,A,2024-01-28 21:51:42
120,101,B,2024-02-08 07:03:46
121,101,A,2024-01-26 11:08:52
122,101,A,2024-02-26 09:09:29
125,101,A,2024-01-02 19:43:15
126,102,A,2024-03-12 14:05:20
127,101,A,2024-02-05 23:52:35
128,101,A,2024-01-14 01:20:05
129,102,A,2024-02-07 02:52:25
130,101,B,2024-01-03 01:33:26
132,101,A,2024-02-01 02:31:05
134,101,A,2024-02-16 00:30:13
136,102,B,2024-01-28 07:39:48
139,102,A,2024-02-14 22:56:07
141,102,B,2024-03-04 23:39:44
144,102,A,2024-03-17 08:40:46
149,102,A,2024-01-20 10:08:57
152,102,A,2024-03-29 21:01:14
153,101,B,2024-02-15 14:52:21
154,101,A,2024-02-10 23:18:27
160,101,A,2024-03-20 11:55:03
164,101,B,2024-01-02 22:04:26
169,101,B,2024-03-01 04:03:29
172,101,B,2024-02-24 09:44:16
177,102,A,2024-01-27 02:02:32
178,101,B,2024-02-25 08:49:53
182,102,A,2024-02-06 17:58:10
185,101,A,2024-01-28 06:29:01
186,101,B,2024-01-07 03:18:41
188,102,B,2024-02-16 18:27:46
193,101,A,2024-02-01 04:39:11
194,101,A,2024-02-26 11:06:43
