FactDate,LocationID,Weather,HiTemp,LoTemp,LocalEvent
2024-01-01,1,Cold,70,65,None
2024-01-02,1,Cold,72,61,None
2024-01-03,1,Sunny,58,45,None
2024-01-04,1,Cloudy,35,18,Farmers Market
2024-01-05,1,Cloudy,38,28,None
2024-01-06,1,Cold,56,41,None
2024-01-07,1,Sunny,55,46,None
2024-01-08,1,Sunny,41,27,None
2024-01-09,1,Sunny,60,42,None
2024-01-10,1,Sunny,55,48,None
2024-01-11,1,Warm,71,62,Game Day
2024-01-12,1,Cold,50,39,None
2024-01-13,1,Warm,44,35,None
2024-01-14,1,Cloudy,52,46,Game Day
2024-01-15,1,Cloudy,72,63,None
2024-01-16,1,Cloudy,38,22,None
2024-01-17,1,Sunny,41,35,None
2024-01-18,1,Sunny,48,35,None
2024-01-19,1,Cloudy,49,41,None
2024-01-20,1,Cloudy,58,48,None
2024-01-21,1,Sunny,48,38,None
2024-01-22,1,Warm,51,36,None
2024-01-23,1,Cold,53,38,None
2024-01-24,1,Rain,46,29,None
2024-01-25,1,Rain,74,55,None
2024-01-26,1,Sunny,46,33,None
2024-01-27,1,Cold,62,51,None
2024-01-28,1,Sunny,72,56,None
2024-01-29,1,Cold,75,55,None
2024-01-30,1,Cloudy,52,36,None
2024-01-31,1,Cold,49,33,None
2024-02-01,1,Sunny,56,46,None
2024-02-02,1,Cold,58,43,None
2024-02-03,1,Sunny,52,32,None
2024-02-04,1,Cold,45,29,None
2024-02-05,1,Warm,38,20,None
2024-02-06,1,Sunny,52,32,None
2024-02-07,1,Rain,49,37,None
2024-02-08,1,Warm,58,48,None
2024-02-09,1,Cold,52,35,None
2024-02-10,1,Rain,49,34,None
2024-02-11,1,Warm,61,52,None
2024-02-12,1,Warm,70,55,None
2024-02-13,1,Cloudy,53,42,None
2024-02-14,1,Cold,66,57,None
2024-02-15,1,Rain,65,58,None
2024-02-16,1,Cold,61,50,None
2024-02-17,1,Warm,49,34,None
2024-02-18,1,Rain,61,46,None
2024-02-19,1,Cold,50,45,None
2024-02-20,1,Sunny,60,51,None
2024-02-21,1,Cold,72,60,None
2024-02-22,1,Warm,39,21,Farmers Market
2024-02-23,1,Warm,40,32,None
2024-02-24,1,Warm,47,28,Farmers Market
2024-02-25,1,Sunny,66,55,None
2024-02-26,1,Cold,38,18,None
2024-02-27,1,Sunny,41,28,None
2024-02-28,1,Cold,65,60,None
2024-02-29,1,Cloudy,59,46,None
2024-03-01,1,Sunny,43,35,None
2024-03-02,1,Cold,47,33,None
2024-03-03,1,Cold,60,50,None
2024-03-04,1,Rain,44,34,None
2024-03-05,1,Rain,57,40,None
2024-03-06,1,Cloudy,73,65,None
2024-03-07,1,Warm,72,58,Game Day
2024-03-08,1,Warm,51,44,None
2024-03-09,1,Sunny,46,28,None
2024-03-10,1,Cold,53,34,Game Day
2024-03-11,1,Cold,36,18,None
2024-03-12,1,Warm,49,38,None
2024-03-13,1,Warm,42,36,None
2024-03-14,1,Cold,41,31,None
2024-03-15,1,Warm,36,28,None
2024-03-16,1,Cloudy,71,58,None
2024-03-17,1,Sunny,40,29,None
2024-03-18,1,Rain,52,41,None
2024-03-19,1,Cold,65,54,None
2024-03-20,1,Rain,69,61,None
2024-03-21,1,Warm,69,56,Farmers Market
2024-03-22,1,Sunny,62,42,None
2024-03-23,1,Sunny,39,26,None
2024-03-24,1,Sunny,41,24,Game Day
2024-03-25,1,Warm,72,65,None
2024-03-26,1,Sunny,54,44,None
2024-03-27,1,Sunny,44,26,None
2024-03-28,1,Sunny,60,54,None
2024-03-29,1,Sunny,74,68,None
2024-03-30,1,Cloudy,42,31,None
2024-03-31,1,Rain,54,41,None
2024-04-01,1,Sunny,48,33,None
2024-01-01,2,Cold,38,18,None
2024-01-02,2,Sunny,66,58,None
2024-01-03,2,Warm,59,53,Game Day
2024-01-04,2,Sunny,40,20,None
