OrderItemID,OrderID,MenuItemID,Quantity,PriceEach,LineTotal
1,1,1,1,3.0,3.0
2,1,2,1,4.5,4.5
3,2,3,1,4.25,4.25
4,3,4,1,5.25,5.25
5,3,5,1,4.0,4.0
6,3,6,1,2.75,2.75
7,3,5,1,4.0,4.0
8,4,3,1,4.25,4.25
9,5,1,1,3.0,3.0
10,5,1,1,3.0,3.0
11,5,5,1,4.0,4.0
12,6,8,1,6.5,6.5
13,6,9,1,7.0,7.0
14,6,9,1,7.0,7.0
15,7,6,1,2.75,2.75
16,8,1,1,3.0,3.0
17,8,6,1,2.75,2.75
18,9,9,1,7.0,7.0
19,9,6,1,2.75,2.75
20,9,2,1,4.5,4.5
21,9,7,1,3.25,3.25
22,10,6,1,2.75,2.75
23,10,4,1,5.25,5.25
24,10,1,1,3.0,3.0
25,10,5,1,4.0,4.0
26,11,5,1,4.0,4.0
27,12,3,1,4.25,4.25
28,12,7,1,3.25,3.25
29,12,9,1,7.0,7.0
30,13,6,1,2.75,2.75
31,13,10,1,4.75,4.75
32,13,4,1,5.25,5.25
33,14,9,1,7.0,7.0
34,14,4,1,5.25,5.25
35,14,4,1,5.25,5.25
36,14,10,1,4.75,4.75
37,15,2,1,4.5,4.5
38,15,10,1,4.75,4.75
39,15,2,1,4.5,4.5
40,16,3,1,4.25,4.25
41,16,6,1,2.75,2.75
42,17,10,1,4.75,4.75
43,17,8,1,6.5,6.5
44,18,8,1,6.5,6.5
45,18,10,1,4.75,4.75
46,18,1,1,3.0,3.0
47,18,9,1,7.0,7.0
48,19,5,1,4.0,4.0
49,19,1,1,3.0,3.0
50,19,4,1,5.25,5.25
51,19,10,1,4.75,4.75
52,20,8,1,6.5,6.5
53,21,7,1,3.25,3.25
54,21,8,1,6.5,6.5
55,21,7,1,3.25,3.25
56,22,9,1,7.0,7.0
57,22,7,1,3.25,3.25
58,23,1,1,3.0,3.0
59,24,8,1,6.5,6.5
60,24,6,1,2.75,2.75
61,25,7,1,3.25,3.25
62,26,10,1,4.75,4.75
63,27,1,1,3.0,3.0
64,27,7,1,3.25,3.25
65,28,3,1,4.25,4.25
66,29,4,1,5.25,5.25
67,29,5,1,4.0,4.0
68,29,3,1,4.25,4.25
69,30,9,1,7.0,7.0
70,31,1,1,3.0,3.0
71,31,6,1,2.75,2.75
72,31,7,1,3.25,3.25
73,31,9,1,7.0,7.0
74,32,5,1,4.0,4.0
75,32,7,1,3.25,3.25
76,33,5,1,4.0,4.0
77,33,3,1,4.25,4.25
78,34,9,1,7.0,7.0
79,34,9,1,7.0,7.0
80,34,3,1,4.25,4.25
81,34,7,1,3.25,3.25
82,35,8,1,6.5,6.5
83,36,5,1,4.0,4.0
84,37,4,1,5.25,5.25
85,38,4,1,5.25,5.25
86,38,6,1,2.75,2.75
87,38,5,1,4.0,4.0
88,38,1,1,3.0,3.0
89,39,4,1,5.25,5.25
90,39,10,1,4.75,4.75
91,39,4,1,5.25,5.25
92,39,7,1,3.25,3.25
93,40,5,1,4.0,4.0
94,40,5,1,4.0,4.0
95,40,6,1,2.75,2.75
96,41,6,1,2.75,2.75
97,41,4,1,5.25,5.25
98,41,6,1,2.75,2.75
99,41,6,1,2.75,2.75
100,42,1,1,3.0,3.0
101,42,5,1,4.0,4.0
102,43,3,1,4.25,4.25
103,43,4,1,5.25,5.25
104,43,6,1,2.75,2.75
105,44,9,1,7.0,7.0
106,44,6,1,2.75,2.75
107,44,5,1,4.0,4.0
108,44,8,1,6.5,6.5
109,45,3,1,4.25,4.25
110,45,9,1,7.0,7.0
111,46,2,1,4.5,4.5
112,47,2,1,4.5,4.5
113,47,3,1,4.25,4.25
114,48,1,1,3.0,3.0
115,48,1,1,3.0,3.0
116,48,9,1,7.0,7.0
117,48,9,1,7.0,7.0
118,49,1,1,3.0,3.0
119,49,9,1,7.0,7.0
120,49,7,1,3.25,3.25
121,50,4,1,5.25,5.25
122,50,10,1,4.75,4.75
123,51,2,1,4.5,4.5
124,51,6,1,2.75,2.75
125,51,7,1,3.25,3.25
126,51,8,1,6.5,6.5
127,52,2,1,4.5,4.5
128,52,1,1,3.0,3.0
129,52,2,1,4.5,4.5
130,53,1,1,3.0,3.0
131,54,6,1,2.75,2.75
132,54,10,1,4.75,4.75
133,54,2,1,4.5,4.5
134,54,9,1,7.0,7.0
135,55,1,1,3.0,3.0
136,55,2,1,4.5,4.5
137,55,5,1,4.0,4.0
138,56,6,1,2.75,2.75
139,56,1,1,3.0,3.0
140,57,5,1,4.0,4.0
141,58,7,1,3.25,3.25
142,58,3,1,4.25,4.25
143,58,2,1,4.5,4.5
144,59,7,1,3.25,3.25
145,60,8,1,6.5,6.5
146,60,8,1,6.5,6.5
147,60,4,1,5.25,5.25
148,61,10,1,4.75,4.75
149,61,7,1,3.25,3.25
150,62,5,1,4.0,4.0
151,63,6,1,2.75,2.75
152,63,6,1,2.75,2.75
153,63,2,1,4.5,4.5
154,63,2,1,4.5,4.5
155,64,2,1,4.5,4.5
156,64,3,1,4.25,4.25
157,65,10,1,4.75,4.75
158,66,7,1,3.25,3.25
159,66,7,1,3.25,3.25
160,66,2,1,4.5,4.5
161,67,3,1,4.25,4.25
162,67,3,1,4.25,4.25
163,67,5,1,4.0,4.0
164,67,5,1,4.0,4.0
165,68,7,1,3.25,3.25
166,68,5,1,4.0,4.0
167,69,8,1,6.5,6.5
168,69,10,1,4.75,4.75
169,70,5,1,4.0,4.0
170,70,1,1,3.0,3.0
171,71,8,1,6.5,6.5
172,71,6,1,2.75,2.75
173,71,7,1,3.25,3.25
174,72,6,1,2.75,2.75
175,72,10,1,4.75,4.75
176,72,4,1,5.25,5.25
177,73,6,1,2.75,2.75
178,73,7,1,3.25,3.25
179,74,10,1,4.75,4.75
180,74,9,1,7.0,7.0
181,75,5,1,4.0,4.0
182,75,2,1,4.5,4.5
183,75,7,1,3.25,3.25
184,75,8,1,6.5,6.5
185,76,3,1,4.25,4.25
186,76,7,1,3.25,3.25
187,76,7,1,3.25,3.25
188,77,6,1,2.75,2.75
189,78,4,1,5.25,5.25
190,79,6,1,2.75,2.75
191,79,7,1,3.25,3.25
192,79,2,1,4.5,4.5
193,79,1,1,3.0,3.0
194,80,6,1,2.75,2.75
195,80,7,1,3.25,3.25
196,80,8,1,6.5,6.5
197,80,10,1,4.75,4.75
198,81,2,1,4.5,4.5
199,81,5,1,4.0,4.0
200,81,7,1,3.25,3.25
201,81,2,1,4.5,4.5
202,82,4,1,5.25,5.25
203,82,9,1,7.0,7.0
204,82,8,1,6.5,6.5
205,82,6,1,2.75,2.75
206,83,2,1,4.5,4.5
207,83,5,1,4.0,4.0
208,83,1,1,3.0,3.0
209,84,4,1,5.25,5.25
210,84,9,1,7.0,7.0
211,85,8,1,6.5,6.5
212,85,4,1,5.25,5.25
213,85,7,1,3.25,3.25
214,85,3,1,4.25,4.25
215,86,1,1,3.0,3.0
216,86,10,1,4.75,4.75
217,86,4,1,5.25,5.25
218,86,8,1,6.5,6.5
219,87,5,1,4.0,4.0
220,87,2,1,4.5,4.5
221,88,5,1,4.0,4.0
222,89,10,1,4.75,4.75
223,89,7,1,3.25,3.25
224,89,10,1,4.75,4.75
225,89,2,1,4.5,4.5
226,90,3,1,4.25,4.25
227,91,8,1,6.5,6.5
228,91,9,1,7.0,7.0
229,92,3,1,4.25,4.25
230,92,3,1,4.25,4.25
231,92,6,1,2.75,2.75
232,93,8,1,6.5,6.5
233,94,8,1,6.5,6.5
234,94,7,1,3.25,3.25
235,94,8,1,6.5,6.5
236,94,8,1,6.5,6.5
237,95,4,1,5.25,5.25
238,95,9,1,7.0,7.0
239,95,5,1,4.0,4.0
240,96,10,1,4.75,4.75
241,97,7,1,3.25,3.25
242,97,2,1,4.5,4.5
243,98,5,1,4.0,4.0
244,98,6,1,2.75,2.75
245,98,2,1,4.5,4.5
246,98,8,1,6.5,6.5
247,99,3,1,4.25,4.25
248,99,10,1,4.75,4.75
249,99,3,1,4.25,4.25
250,99,4,1,5.25,5.25
251,100,10,1,4.75,4.75
252,100,9,1,7.0,7.0
253,100,3,1,4.25,4.25
254,101,9,1,7.0,7.0
255,101,2,1,4.5,4.5
256,101,3,1,4.25,4.25
257,102,3,1,4.25,4.25
258,102,4,1,5.25,5.25
259,103,10,1,4.75,4.75
260,103,5,1,4.0,4.0
261,104,9,1,7.0,7.0
262,104,5,1,4.0,4.0
263,104,6,1,2.75,2.75
264,104,8,1,6.5,6.5
265,105,8,1,6.5,6.5
266,106,9,1,7.0,7.0
267,107,5,1,4.0,4.0
268,107,6,1,2.75,2.75
269,107,5,1,4.0,4.0
270,107,6,1,2.75,2.75
271,108,2,1,4.5,4.5
272,109,8,1,6.5,6.5
273,109,8,1,6.5,6.5
274,110,5,1,4.0,4.0
275,110,2,1,4.5,4.5
276,111,7,1,3.25,3.25
277,112,2,1,4.5,4.5
278,112,2,1,4.5,4.5
279,112,1,1,3.0,3.0
280,112,4,1,5.25,5.25
281,113,1,1,3.0,3.0
282,113,1,1,3.0,3.0
283,113,6,1,2.75,2.75
284,113,2,1,4.5,4.5
285,114,7,1,3.25,3.25
286,114,2,1,4.5,4.5
287,115,5,1,4.0,4.0
288,115,3,1,4.25,4.25
289,115,7,1,3.25,3.25
290,116,9,1,7.0,7.0
291,117,6,1,2.75,2.75
292,117,4,1,5.25,5.25
293,117,3,1,4.25,4.25
294,117,7,1,3.25,3.25
