OrderID,Amount,Method,Status,TxnRef
1,7.5,App,Completed,TXN000001
2,4.25,App,Completed,TXN000002
3,16.0,App,Completed,TXN000003
4,4.25,Card,Completed,TXN000004
5,10.0,Cash,Completed,TXN000005
6,20.5,Card,Completed,TXN000006
7,2.75,Cash,Completed,TXN000007
8,5.75,Cash,Completed,TXN000008
9,17.5,App,Completed,TXN000009
10,15.0,Card,Completed,TXN000010
11,4.0,Cash,Completed,TXN000011
12,14.5,Card,Completed,TXN000012
13,12.75,App,Completed,TXN000013
14,22.25,Cash,Completed,TXN000014
15,13.75,App,Completed,TXN000015
16,7.0,App,Completed,TXN000016
17,11.25,Cash,Completed,TXN000017
18,21.25,Cash,Completed,TXN000018
19,17.0,Cash,Completed,TXN000019
20,6.5,Card,Completed,TXN000020
21,13.0,App,Completed,TXN000021
22,10.25,Cash,Completed,TXN000022
23,3.0,App,Completed,TXN000023
24,9.25,Cash,Completed,TXN000024
25,3.25,Card,Completed,TXN000025
26,4.75,Card,Completed,TXN000026
27,6.25,App,Completed,TXN000027
28,4.25,App,Completed,TXN000028
29,13.5,Card,Completed,TXN000029
30,7.0,Cash,Completed,TXN000030
31,16.0,App,Completed,TXN000031
32,7.25,Cash,Completed,TXN000032
33,8.25,Cash,Completed,TXN000033
34,21.5,App,Completed,TXN000034
35,6.5,Card,Completed,TXN000035
36,4.0,App,Completed,TXN000036
37,5.25,App,Completed,TXN000037
38,15.0,App,Completed,TXN000038
39,18.5,App,Completed,TXN000039
40,10.75,Cash,Completed,TXN000040
41,13.5,Cash,Completed,TXN000041
42,7.0,App,Completed,TXN000042
43,12.25,App,Completed,TXN000043
44,20.25,App,Completed,TXN000044
45,11.25,Card,Completed,TXN000045
46,4.5,App,Completed,TXN000046
47,8.75,Cash,Completed,TXN000047
48,20.0,Card,Completed,TXN000048
49,13.25,Card,Completed,TXN000049
50,10.0,App,Completed,TXN000050
51,17.0,Cash,Completed,TXN000051
52,12.0,App,Completed,TXN000052
53,3.0,Cash,Completed,TXN000053
54,19.0,Card,Completed,TXN000054
55,11.5,App,Completed,TXN000055
