LocationID,MenuItemID,SnapshotDate,OnHandQty
1,1,2024-01-01,68
1,1,2024-01-02,33
1,1,2024-01-03,47
1,1,2024-01-04,74
1,1,2024-01-05,48
1,1,2024-01-06,63
1,1,2024-01-07,56
1,1,2024-01-08,43
1,1,2024-01-09,21
1,1,2024-01-10,80
1,1,2024-01-11,70
1,1,2024-01-12,52
1,1,2024-01-13,30
1,1,2024-01-14,78
1,1,2024-01-15,64
1,1,2024-01-16,53
1,1,2024-01-17,58
1,1,2024-01-18,45
1,1,2024-01-19,51
1,1,2024-01-20,64
1,1,2024-01-21,67
1,1,2024-01-22,59
1,1,2024-01-23,25
1,1,2024-01-24,62
1,1,2024-01-25,33
1,1,2024-01-26,43
1,1,2024-01-27,20
1,1,2024-01-28,74
1,1,2024-01-29,40
1,1,2024-01-30,59
1,1,2024-01-31,63
1,1,2024-02-01,35
1,1,2024-02-02,58
1,1,2024-02-03,78
1,1,2024-02-04,35
1,1,2024-02-05,75
1,1,2024-02-06,46
1,1,2024-02-07,75
1,1,2024-02-08,77
1,1,2024-02-09,54
1,1,2024-02-10,27
1,1,2024-02-11,18
1,1,2024-02-12,55
1,1,2024-02-13,36
1,1,2024-02-14,77
1,1,2024-02-15,44
1,1,2024-02-16,35
1,1,2024-02-17,56
1,1,2024-02-18,64
1,1,2024-02-19,71
1,1,2024-02-20,22
1,1,2024-02-21,25
1,1,2024-02-22,75
1,1,2024-02-23,32
1,1,2024-02-24,25
1,1,2024-02-25,34
1,1,2024-02-26,57
1,1,2024-02-27,38
1,1,2024-02-28,66
1,1,2024-02-29,73
1,1,2024-03-01,24
1,1,2024-03-02,77
1,1,2024-03-03,54
1,1,2024-03-04,73
1,1,2024-03-05,28
1,1,2024-03-06,41
1,1,2024-03-07,21
1,1,2024-03-08,68
1,1,2024-03-09,55
1,1,2024-03-10,73
1,1,2024-03-11,72
1,1,2024-03-12,19
1,1,2024-03-13,18
1,1,2024-03-14,23
1,1,2024-03-15,74
1,1,2024-03-16,36
1,1,2024-03-17,32
1,1,2024-03-18,44
1,1,2024-03-19,18
1,1,2024-03-20,49
1,1,2024-03-21,36
1,1,2024-03-22,69
1,1,2024-03-23,71
1,1,2024-03-24,49
1,1,2024-03-25,53
1,1,2024-03-26,57
1,1,2024-03-27,74
1,1,2024-03-28,60
1,1,2024-03-29,55
1,1,2024-03-30,11
1,1,2024-03-31,41
1,1,2024-04-01,76
1,2,2024-01-01,23
1,2,2024-01-02,33
1,2,2024-01-03,80
1,2,2024-01-04,53
1,2,2024-01-05,66
1,2,2024-01-06,52
1,2,2024-01-07,56
1,2,2024-01-08,60
1,2,2024-01-09,66
1,2,2024-01-10,66
1,2,2024-01-11,65
1,2,2024-01-12,22
1,2,2024-01-13,37
1,2,2024-01-14,36
1,2,2024-01-15,60
1,2,2024-01-16,23
1,2,2024-01-17,22
1,2,2024-01-18,38
1,2,2024-01-19,22
1,2,2024-01-20,34
1,2,2024-01-21,35
1,2,2024-01-22,24
1,2,2024-01-23,42
1,2,2024-01-24,45
1,2,2024-01-25,44
1,2,2024-01-26,75
1,2,2024-01-27,52
1,2,2024-01-28,40
1,2,2024-01-29,21
1,2,2024-01-30,63
1,2,2024-01-31,31
1,2,2024-02-01,72
1,2,2024-02-02,41
1,2,2024-02-03,30
1,2,2024-02-04,50
1,2,2024-02-05,60
1,2,2024-02-06,59
1,2,2024-02-07,25
1,2,2024-02-08,36
1,2,2024-02-09,48
1,2,2024-02-10,61
1,2,2024-02-11,30
1,2,2024-02-12,49
1,2,2024-02-13,38
1,2,2024-02-14,47
1,2,2024-02-15,39
1,2,2024-02-16,41
1,2,2024-02-17,52
1,2,2024-02-18,21
1,2,2024-02-19,32
1,2,2024-02-20,19
1,2,2024-02-21,58
1,2,2024-02-22,59
1,2,2024-02-23,15
1,2,2024-02-24,26
1,2,2024-02-25,77
1,2,2024-02-26,42
1,2,2024-02-27,50
1,2,2024-02-28,77
1,2,2024-02-29,35
1,2,2024-03-01,38
1,2,2024-03-02,37
1,2,2024-03-03,43
1,2,2024-03-04,19
1,2,2024-03-05,48
1,2,2024-03-06,72
1,2,2024-03-07,69
1,2,2024-03-08,47
1,2,2024-03-09,55
1,2,2024-03-10,32
1,2,2024-03-11,20
1,2,2024-03-12,21
1,2,2024-03-13,77
1,2,2024-03-14,56
1,2,2024-03-15,21
1,2,2024-03-16,24
1,2,2024-03-17,68
1,2,2024-03-18,46
1,2,2024-03-19,65
1,2,2024-03-20,71
1,2,2024-03-21,54
1,2,2024-03-22,18
1,2,2024-03-23,37
1,2,2024-03-24,69
1,2,2024-03-25,52
1,2,2024-03-26,44
1,2,2024-03-27,59
1,2,2024-03-28,44
1,2,2024-03-29,52
1,2,2024-03-30,54
1,2,2024-03-31,15
1,2,2024-04-01,50
1,3,2024-01-01,64
1,3,2024-01-02,26
1,3,2024-01-03,47
1,3,2024-01-04,25
1,3,2024-01-05,25
1,3,2024-01-06,43
1,3,2024-01-07,53
1,3,2024-01-08,79
1,3,2024-01-09,44
1,3,2024-01-10,46
1,3,2024-01-11,70
1,3,2024-01-12,52
1,3,2024-01-13,47
1,3,2024-01-14,27
1,3,2024-01-15,24
1,3,2024-01-16,56
1,3,2024-01-17,55
1,3,2024-01-18,49
1,3,2024-01-19,71
1,3,2024-01-20,73
1,3,2024-01-21,44
1,3,2024-01-22,47
1,3,2024-01-23,42
1,3,2024-01-24,56
1,3,2024-01-25,66
1,3,2024-01-26,65
1,3,2024-01-27,52
1,3,2024-01-28,31
1,3,2024-01-29,60
1,3,2024-01-30,32
1,3,2024-01-31,30
1,3,2024-02-01,45
1,3,2024-02-02,24
1,3,2024-02-03,48
1,3,2024-02-04,72
1,3,2024-02-05,21
1,3,2024-02-06,65
1,3,2024-02-07,35
1,3,2024-02-08,75
1,3,2024-02-09,19
1,3,2024-02-10,39
1,3,2024-02-11,50
1,3,2024-02-12,32
1,3,2024-02-13,41
1,3,2024-02-14,27
1,3,2024-02-15,34
1,3,2024-02-16,40
1,3,2024-02-17,61
1,3,2024-02-18,54
1,3,2024-02-19,22
1,3,2024-02-20,55
1,3,2024-02-21,40
1,3,2024-02-22,46
1,3,2024-02-23,39
1,3,2024-02-24,44
1,3,2024-02-25,62
1,3,2024-02-26,27
1,3,2024-02-27,50
1,3,2024-02-28,42
1,3,2024-02-29,31
1,3,2024-03-01,38
1,3,2024-03-02,76
1,3,2024-03-03,32
1,3,2024-03-04,32
1,3,2024-03-05,50
1,3,2024-03-06,57
1,3,2024-03-07,55
1,3,2024-03-08,65
1,3,2024-03-09,65
1,3,2024-03-10,50
1,3,2024-03-11,25
1,3,2024-03-12,30
1,3,2024-03-13,25
1,3,2024-03-14,42
1,3,2024-03-15,40
1,3,2024-03-16,51
1,3,2024-03-17,26
1,3,2024-03-18,23
1,3,2024-03-19,42
1,3,2024-03-20,68
1,3,2024-03-21,62
1,3,2024-03-22,59
1,3,2024-03-23,48
1,3,2024-03-24,35
1,3,2024-03-25,48
1,3,2024-03-26,18
1,3,2024-03-27,16
1,3,2024-03-28,57
1,3,2024-03-29,36
1,3,2024-03-30,48
1,3,2024-03-31,61
1,3,2024-04-01,37
1,4,2024-01-01,79
1,4,2024-01-02,47
1,4,2024-01-03,47
1,4,2024-01-04,55
1,4,2024-01-05,51
1,4,2024-01-06,58
1,4,2024-01-07,75
1,4,2024-01-08,32
1,4,2024-01-09,20
1,4,2024-01-10,72
1,4,2024-01-11,75
1,4,2024-01-12,69
1,4,2024-01-13,32
1,4,2024-01-14,20
1,4,2024-01-15,29
1,4,2024-01-16,69
1,4,2024-01-17,51
1,4,2024-01-18,41
1,4,2024-01-19,33
1,4,2024-01-20,30
1,4,2024-01-21,76
