OrderID,CustomerID,LocationID,PromoID,OrderDate,TotalAmount,PaymentType,OrderTime
1,1,1,NULL,2024-01-26,7.5,App,09:21:00
2,1,2,2,2024-02-12,4.25,App,07:54:00
3,2,2,2,2024-02-08,16,App,09:22:00
4,2,1,NULL,2024-03-26,4.25,Card,17:06:00
5,3,2,NULL,2024-03-12,10,Cash,13:19:00
6,3,3,1,2024-03-25,20.5,Card,09:49:00
7,4,2,NULL,2024-03-24,2.75,Cash,16:45:00
8,4,3,1,2024-03-15,5.75,Cash,07:46:00
9,5,3,2,2024-03-06,17.5,App,17:32:00
10,5,1,NULL,2024-03-30,15,Card,13:07:00
11,6,2,1,2024-03-16,4,Cash,13:53:00
12,7,3,2,2024-01-29,14.5,Card,09:49:00
13,7,2,NULL,2024-03-31,12.75,App,12:32:00
14,9,3,2,2024-03-28,22.25,Cash,08:32:00
15,9,1,2,2024-03-31,13.75,App,10:52:00
16,9,3,NULL,2024-03-11,7,App,07:34:00
17,9,3,NULL,2024-03-30,11.25,Cash,14:22:00
18,10,1,NULL,2024-03-14,21.25,Cash,17:50:00
19,10,3,NULL,2024-03-15,17,Cash,16:15:00
20,11,3,NULL,2024-02-29,6.5,Card,17:57:00
21,12,1,2,2024-03-23,13,App,14:26:00
22,13,3,NULL,2024-03-22,10.25,Cash,07:57:00
23,13,1,NULL,2024-03-31,3,App,11:50:00
24,14,3,NULL,2024-03-23,9.25,Cash,11:16:00
25,14,2,NULL,2024-02-26,3.25,Card,14:51:00
26,14,1,NULL,2024-02-12,4.75,Card,14:34:00
27,14,2,NULL,2024-02-14,6.25,App,11:56:00
28,14,1,NULL,2024-03-24,4.25,App,16:40:00
29,14,2,1,2024-03-30,13.5,Card,12:05:00
30,14,2,1,2024-03-03,7,Cash,07:30:00
31,15,3,2,2024-02-02,16,App,07:40:00
32,15,3,2,2024-02-15,7.25,Cash,07:31:00
33,15,3,NULL,2024-02-02,8.25,Cash,11:48:00
34,15,1,2,2024-02-29,21.5,App,10:58:00
35,15,2,1,2024-02-08,6.5,Card,17:48:00
36,15,1,NULL,2024-02-21,4,App,07:03:00
37,15,3,NULL,2024-02-21,5.25,App,07:41:00
38,15,3,NULL,2024-03-29,15,App,16:42:00
39,15,1,NULL,2024-02-05,18.5,App,11:38:00
40,16,2,2,2024-03-04,10.75,Cash,14:38:00
41,16,2,NULL,2024-03-22,13.5,Cash,13:45:00
42,16,1,NULL,2024-03-13,7,App,07:04:00
43,16,3,2,2024-03-26,12.25,App,08:43:00
44,16,2,NULL,2024-02-24,20.25,App,07:58:00
45,16,2,1,2024-03-20,11.25,Card,11:48:00
46,16,1,NULL,2024-03-20,4.5,App,13:28:00
47,16,1,NULL,2024-02-06,8.75,Cash,08:22:00
48,17,2,2,2024-03-21,20,Card,07:41:00
49,17,1,1,2024-03-16,13.25,Card,11:30:00
50,18,1,NULL,2024-03-24,10,App,07:39:00
51,18,2,1,2024-03-29,17,Cash,08:35:00
52,18,1,NULL,2024-03-29,12,App,08:42:00
53,18,2,2,2024-03-27,3,Cash,08:48:00
54,18,1,2,2024-03-31,19,Card,14:02:00
55,19,3,2,2024-02-15,11.5,App,07:51:00
56,19,3,NULL,2024-03-18,5.75,App,17:35:00
57,19,3,2,2024-02-15,4,Card,12:31:00
58,19,3,2,2024-02-10,12,Card,08:54:00
59,19,3,NULL,2024-03-14,3.25,Cash,12:15:00
60,21,2,NULL,2024-03-31,18.25,Cash,10:20:00
61,21,3,2,2024-03-31,8,Cash,10:56:00
62,22,1,NULL,2024-03-08,4,App,11:49:00
63,22,2,NULL,2024-03-01,14.5,App,15:41:00
